date,Berkshire_Hathaway_return,BRK_13_F_public_stocks_holding_return,risk_free_return,market_excess_return,SMB,HML,QMJ,BAB
19761029,,,0.0041,-0.0242,0.0025,-0.0013,0.000291,0.009824
19761130,0.154412,,0.004,0.0036,0.0232,0.0151,-0.020044,0.003814
19761231,0.146497,,0.004,0.0565,0.0301,0.0222,-0.006284,0.032671
19770131,0,,0.0036,-0.0405,0.0478,0.0426,-0.020399,0.038325
19770228,0,,0.0035,-0.0195,0.0109,0.005,0.016226,0.028703
19770331,0.077778,,0.0038,-0.0137,0.0099,0.0102,-0.007488,0.013907
19770429,-0.010309,,0.0038,0.0015,-0.0012,0.0345,-0.018025,0.010063
19770531,0.0625,,0.0037,-0.0146,0.0118,0.0084,-0.0035,0.013097
19770630,0,,0.004,0.0471,0.0212,-0.0064,-0.005475,-0.003333
19770729,0,,0.0042,-0.0169,0.0212,-0.006,0.010826,0.027149
19770831,0.019608,,0.0044,-0.0175,0.0153,-0.028,0.026746,0.000745
19770930,0.043269,,0.0043,-0.0027,0.0144,-0.0048,0.005203,0.005246
19771031,0.041475,,0.0049,-0.0438,0.0127,0.0171,0.011158,0.003023
19771130,0.088496,,0.005,0.04,0.0371,0.0032,-0.003223,-0.001088
19771230,0.150407,,0.0049,0.0027,0.0133,-0.0035,0.002644,0.02138
19780131,-0.031802,,0.0049,-0.0601,0.0221,0.0332,-0.014121,-0.001501
19780228,0.00365,,0.0046,-0.0138,0.0358,0.0078,-0.000756,0.014401
19780331,0,,0.0053,0.0285,0.0347,0.0123,-0.017915,0.013362
19780428,0.105455,,0.0054,0.0788,0.004,-0.0355,0.027514,0.030344
19780531,0.151316,,0.0051,0.0176,0.0456,-0.0062,0.004764,0.018616
19780630,-0.028571,,0.0054,-0.0169,0.017,0.0058,-0.004126,0.020121
19780731,0,,0.0056,0.0511,0.0026,-0.0112,0.011756,0.004081
19780831,0.044118,,0.0056,0.0375,0.0507,-0.0046,0.001107,0.039833
19780929,0,,0.0062,-0.0143,-0.0039,0.0187,-0.007385,0.0217
19781031,0.061972,,0.0068,-0.1191,-0.0988,0.0136,0.03846,-0.027822
19781130,-0.092838,,0.007,0.0271,0.0301,-0.0222,-0.007244,-0.04489
19781229,-0.081871,,0.0078,0.0088,0.0125,-0.0219,0.023756,0.002269
19790131,0.019108,,0.0077,0.0423,0.0368,0.0225,-0.031697,0.036181
19790228,0.01875,,0.0073,-0.0356,0.0046,0.0118,-0.005354,0.011477
19790330,0.147239,,0.0081,0.0568,0.0318,-0.0067,-0.016304,-0.01652
19790430,0.037433,,0.008,-0.0006,0.0216,0.0107,0.005996,0.010334
19790531,0,,0.0082,-0.0221,0.0056,0.0193,-0.013237,-0.001559
19790629,0.198454,,0.0081,0.0385,0.0117,0.0147,-0.02317,0.014394
19790731,0.354839,,0.0077,0.0082,0.0127,0.017,0.004584,0.01414
19790831,0.126984,,0.0077,0.0553,0.0208,-0.0155,0.011436,0.020588
19790928,-0.028169,,0.0083,-0.0082,-0.0025,-0.0087,0.003407,0.005741
19791031,-0.173913,,0.0087,-0.081,-0.0333,-0.0186,0.024377,-0.04565
19791130,0.122807,,0.0099,0.0521,0.0275,-0.0325,-0.025984,-0.015274
19791231,0.03125,,0.0095,0.0179,0.0417,-0.0198,-0.013923,0.009077
19800131,0.045455,,0.008,0.0551,0.0164,0.018,-0.032921,0.023045
19800229,0,,0.0089,-0.0122,-0.0182,0.0062,-0.018702,-0.017493
19800331,-0.217391,,0.0121,-0.129,-0.0664,-0.0106,0.056665,-0.045675
19800430,0.074074,0.068192,0.0126,0.0397,0.0097,0.0106,-0.030625,0.021818
19800530,0.137931,0.092465,0.0081,0.0526,0.0215,0.0039,0.005952,0.037776
19800630,-0.060606,0.038221,0.0061,0.0306,0.0167,-0.0089,-0.008888,0.038122
19800731,0.129032,0.077582,0.0053,0.0649,0.0425,-0.063,0.033049,-0.011362
19800829,0.1,0.041391,0.0064,0.018,0.0392,-0.0264,-0.005928,0.015739
19800930,0.019481,0.017887,0.0075,0.0219,0.0089,-0.0479,0.017091,0.012989
19801031,0.076433,-0.007318,0.0095,0.0106,0.0247,-0.0274,0.003442,-0.002379
19801128,0.047337,0.014003,0.0096,0.0959,-0.0345,-0.0835,0.017829,-0.062747
19801231,-0.022599,-0.028346,0.0131,-0.0452,-0.0027,0.0268,0.01044,0.006284
19810130,0.017341,-0.007016,0.0104,-0.0504,0.03,0.0684,-0.006235,0.047749
19810227,0.119318,0.057777,0.0107,0.0056,-0.0031,0.0097,0.016084,0.018786
19810331,-0.005076,0.087513,0.0121,0.0356,0.0358,0.0067,-0.006853,0.033245
19810430,0.071429,0.033082,0.0108,-0.021,0.0442,0.0226,0.009847,0.054476
19810529,0.009524,0.049303,0.0115,0.0011,0.02,-0.0043,-0.018109,-0.003497
19810630,-0.023585,-0.032222,0.0135,-0.0236,-0.0085,0.0513,0.009696,0.050941
19810731,-0.048309,-0.001432,0.0124,-0.0154,-0.0219,-0.0065,0.006953,-0.012735
19810831,0,-0.002242,0.0128,-0.0703,-0.0195,0.0483,0.009692,0.021603
19810930,-0.045685,-0.053752,0.0124,-0.0717,-0.0266,0.0519,0.012437,-0.013902
19811030,0.095745,0.036284,0.0121,0.0492,0.0214,-0.0422,0.011358,-0.020999
19811130,0.145631,0.041653,0.0107,0.0336,-0.0097,0.019,0.009434,0.046033
19811231,-0.042373,0.027559,0.0087,-0.0365,0.0117,0.0074,0.021986,0.023294
19820129,-0.084071,-0.028971,0.008,-0.0324,-0.0128,0.0314,0.002874,-0.001481
19820226,0.009662,-0.045108,0.0092,-0.0586,0.0049,0.0608,-0.000641,0.030424
19820331,-0.066986,0.036024,0.0098,-0.0187,-0.0019,0.0378,-0.002938,0.017678
19820430,0.061538,0.03882,0.0113,0.0327,0.0151,-0.028,0.01589,0.013488
19820528,-0.009662,-0.024848,0.0106,-0.0399,0.0047,0.0182,0.012109,0.020159
19820630,-0.014634,-0.041834,0.0096,-0.0309,-0.004,0.0152,0.008256,-0.004828
19820730,-0.044554,0.007821,0.0105,-0.0319,0.0084,0.0016,0.015667,0.010995
19820831,0.020725,0.103246,0.0076,0.1114,-0.041,0.0116,-0.006987,-0.021523
19820930,0.13198,0.073182,0.0051,0.0129,0.0288,0.0034,0.026034,0.081615
19821029,0.116592,0.158159,0.0059,0.113,0.0235,-0.0368,-0.018926,0.027733
19821130,0.120482,0.091418,0.0063,0.0467,0.0477,-0.0196,0.015644,0.069561
19821231,0.121864,0.03009,0.0067,0.0055,-0.0018,0.0001,0.011288,0.028031
19830131,-0.01278,-0.005144,0.0069,0.036,0.027,-0.0086,-0.022702,0.026173
19830228,0.087379,0.054548,0.0062,0.0259,0.0324,0.0067,0.010462,0.079391
19830331,0.160714,0.06555,0.0063,0.0282,0.0177,0.0207,0.005024,0.064517
19830429,0.007692,0.096971,0.0071,0.0667,0.0053,0.006,-0.004736,0.047651
19830531,0.012723,0.038525,0.0069,0.0052,0.0615,-0.014,-0.02189,0.026744
19830630,-0.075377,-0.029334,0.0067,0.0307,0.009,-0.0386,0.018372,0.030021
19830729,0.040761,-0.01324,0.0074,-0.0407,0.0146,0.0562,0.001917,0.039215
19830831,0.075718,0.040882,0.0076,-0.005,-0.0429,0.0554,0.010785,-0.008894
19830930,0.208738,0.049905,0.0076,0.0092,0.0055,0.011,0.021551,0.037304
19831031,0.052209,0.014016,0.0076,-0.0344,-0.036,0.0506,0.020201,0.038744
19831130,0.041985,-0.011886,0.007,0.0216,0.0204,-0.0061,-0.008591,-0.001304
19831230,-0.029304,0.006011,0.0073,-0.0178,-0.003,0.0168,0.018991,0.014193
19840131,0.009434,0.037785,0.0076,-0.0192,-0.0043,0.0762,-0.025241,0.028228
19840229,-0.033645,-0.08813,0.0071,-0.0482,-0.017,0.0335,0.011131,-0.018654
19840330,-0.030948,0.026323,0.0073,0.0063,0.0007,0.0049,0.000691,-0.003514
19840430,0.007984,0.009173,0.0081,-0.0052,-0.0121,0.0129,0.033531,0.00297
19840531,0.029703,-0.005173,0.0078,-0.0597,0.0005,0.0024,0.031649,0.018381
19840629,-0.019231,0.045544,0.0075,0.0182,-0.0032,-0.0261,0.028028,0.006077
19840731,-0.017647,-0.042493,0.0082,-0.0274,-0.0221,0.0049,0.030367,0.025942
19840831,0.03992,0.12327,0.0083,0.1028,-0.0026,-0.0184,-0.018101,-0.000709
19840928,0.011516,0.021581,0.0086,-0.008,0.002,0.0532,-0.000125,0.042077
19841031,-0.003795,0.000753,0.01,-0.0084,-0.012,0.005,0.017745,0.026129
19841130,-0.015238,-0.037681,0.0073,-0.0176,-0.0062,0.0408,0.007032,0.014197
19841231,-0.003868,0.018296,0.0064,0.0184,-0.006,-0.0017,0.008118,0.004104
19850131,0.095146,0.075238,0.0065,0.0799,0.0328,-0.0543,-0.005117,0.014955
19850228,0.067376,0.077012,0.0058,0.0122,0.0076,-0.0012,0.016881,0.044327
19850329,0.217608,0.082656,0.0062,-0.0084,-0.0115,0.041,-0.00361,0.034094
19850430,0.00955,0.015883,0.0072,-0.0096,0.0014,0.0373,0.003783,0.038795
19850531,0.005405,0.047248,0.0066,0.0509,-0.0225,-0.0087,0.004946,0.017149
19850628,0.155914,0.023725,0.0055,0.0127,0.0061,0.0062,0.007962,0.030593
19850731,-0.018605,-0.024747,0.0062,-0.0074,0.0285,-0.0163,0.012181,-0.005221
19850830,-0.033175,0.012533,0.0055,-0.0102,-0.0034,0.0228,0.003441,0.007862
19850930,0.014706,0.061693,0.006,-0.0454,-0.0158,0.0132,0.028358,0.006011
