"ts_code","trade_date","close","turnover_rate","turnover_rate_f","volume_ratio","pe","pe_ttm","pb","ps","ps_ttm","dv_ratio","dv_ttm","total_share","float_share","free_share","total_mv","circ_mv"
"301039.SZ","20260309","9.13","1.1737","2.7048","0.82","15.7649","19.7963","1.1774","0.8149","0.8476","3.0668","3.0668","187412.442","145242.75","63027.7904","1711075.5955","1326066.3075"
"600371.SH","20260309","9.69","7.9415","15.4975","0.9","53.87","140.2831","5.1613","8.2708","12.8535","1.548","1.548","29257.8","29257.8","14992.7865","283508.082","283508.082"
"300674.SZ","20260309","22.16","2.2251","2.9303","0.88","41.0736","39.3158","3.5241","3.9418","4.1126","1.1455","1.1455","70405.706","70301.1795","53383.0954","1560190.445","1557874.1377"
"600704.SH","20260309","5.53","1.3987","2.4655","0.9","9.2876","7.5279","0.7074","0.0477","0.0484","3.7975","5.6058","517117.989","517117.989","293363.8419","2859662.4792","2859662.4792"
"300539.SZ","20260309","30.09","3.9585","6.3781","0.84","212.2887","157.4015","6.9428","10.7419","8.8957","0.3728","0.3728","26810.0662","21788.8237","13523.0406","806714.892","655625.7051"
"000581.SZ","20260309","24.85","3.3049","5.6373","0.82","14.4767","15.6589","1.2032","2.1513","2.0984","4.0361","4.0361","96678.5693","79386.7049","46540.425","2402462.4471","1972759.6168"
"003002.SZ","20260309","26.1","1.2214","2.3395","0.76","37.2809","28.6824","3.4803","4.7406","4.0378","0.5722","0.5722","20000","18284.7275","9546.2375","522000","477231.3878"
"603709.SH","20260309","17.97","2.0511","5.8281","1.14","","","4.3747","1.4147","1.4151","","","12607.72","12510.927","4402.997","226560.7284","224821.3582"
"002092.SZ","20260309","7.91","9.2688","13.1756","2.46","","","0.9491","0.6801","0.7095","","","259001.9517","257561.0517","181189.9385","2048705.4379","2037307.9189"
"603661.SH","20260309","32.8","0.6505","2.2838","1","17.3398","16.5356","1.228","0.4136","0.3897","3.872","3.872","13906.7031","13906.7031","3960.9165","456139.8617","456139.8617"
"601992.SH","20260309","1.9","0.9901","2.7542","0.76","","","0.4998","0.1832","0.1967","2.6316","2.6316","1067777.1134","833415.8264","299587.3926","2028776.5155","1583490.0702"
"688550.SH","20260309","44.62","1.7604","2.9806","0.88","30.8154","24.9554","2.3882","5.3177","4.6262","1.3091","1.3091","17384.4438","17384.4438","10267.8256","775693.8824","775693.8824"
"920396.BJ","20260309","36.1","7.3921","11.3944","0.79","68.8133","63.8138","7.1773","10.2312","10.0895","0.5751","0.5751","7222.1136","5130.8753","3328.6422","260718.301","185224.5983"
"001215.SZ","20260309","37.15","2.209","3.7572","0.85","43.128","64.555","1.9329","1.9319","1.9179","","","9716.0446","9678.2913","5690.0913","360951.0569","359548.5218"
"300211.SZ","20260309","8.65","0.8557","1.5668","0.89","","","5.6707","25.9543","13.2344","","","30392.9723","29708.5626","16224.3055","262899.2104","256979.0665"
"300071.SZ","20260309","5.65","5.487","7.2448","1.03","","","38.8224","4.4602","5.2638","","","96388.4336","94535.0866","71598.2969","544594.6498","534123.2393"
"000608.SZ","20260309","3.33","3.3261","4.762","0.87","","","1.2021","7.3117","7.3117","","","74991.3309","74542.7559","52065.6559","249721.1319","248227.3771"
"002687.SZ","20260309","5.2","2.4367","3.4201","0.96","29.7157","44.2587","1.759","2.0792","2.0472","","","50477.9491","41344.9634","29456.2555","262485.3353","214993.8097"
"300785.SZ","20260309","52.49","6.4518","7.9581","0.88","138.7272","122.966","5.5274","6.8778","7.9593","0.2858","0.2858","19885.5243","12233.4285","9917.8123","1043791.1705","642132.662"
"600831.SH","20260309","4.21","2.1383","3.0201","1.21","","","2.0364","1.9352","2.3163","","","71094.6992","71094.6992","50335.6344","299308.6836","299308.6836"
"603800.SH","20260309","38.54","1.6778","3.1653","0.78","68.5213","85.0154","9.3027","5.836","6.7176","0.2516","0.2516","20800","20800","11025","801632","801632"
"300740.SZ","20260309","21.6","5.2987","9.1106","1.51","76.6155","55.6139","4.0685","1.9881","1.8308","","","39001.0103","35898.2749","20878.3882","842421.8225","775402.7378"
"603822.SH","20260309","115.4","3.0178","4.9338","1.13","","","19.8464","6.9613","2.7363","","","7682.5886","7682.5886","4699.0388","886570.7244","886570.7244"
"301418.SZ","20260309","38.97","4.3372","4.3372","1.09","77.1385","182.9484","1.7659","8.6534","8.4015","","","7333.3334","2943.6334","2943.6334","285780.0026","114713.3936"
"300834.SZ","20260309","25.08","2.1376","5.9712","1.92","49.978","73.8929","1.6545","2.8676","3.4035","1.2017","1.2017","19371.2353","19242.6779","6888.531","485830.5813","482606.3617"
"002876.SZ","20260309","27.09","3.6095","4.0736","0.7","69.18","97.4337","1.9789","1.819","1.4022","0.5525","0.5525","17388.4932","14894.941","13198.0741","471054.2808","403503.9517"
"301313.SZ","20260309","32.93","5.245","6.1418","0.83","","","4.7302","9.3323","6.2956","","","10345.34","7548.7776","6446.4827","340672.0462","248581.2464"
"301163.SZ","20260309","31.19","3.7938","5.6669","0.98","119.2325","70.6346","2.2408","3.9053","3.1044","0.4008","0.4008","8160","5472.5639","3663.7004","254510.4","170689.268"
"300172.SZ","20260309","6.39","9.5355","10.4925","0.75","58.31","55.0798","2.2308","5.1644","5.6926","0.7825","0.7825","67671","52351.2387","47576.5986","432417.69","334524.4153"
"300666.SZ","20260309","151.51","6.3367","7.0105","0.95","100.3553","83.5253","8.1285","11.1509","8.7286","0.2012","0.2012","26532.0683","22115.7113","19990.2364","4019873.6681","3350751.4191"
"000514.SZ","20260309","4.91","1.1033","2.997","0.75","","44.5434","1.0924","10.6657","14.2071","","","84377.0965","84377.0965","31062.1866","414291.5438","414291.5438"
"600282.SH","20260309","5.71","0.8369","2.2472","1.16","15.5711","13.1175","1.3057","0.5695","0.6308","3.5657","3.5657","616509.1011","616509.1011","229601.355","3520266.9673","3520266.9673"
"000166.SZ","20260309","4.85","0.3645","1.0176","0.83","23.3068","12.9513","1.1009","4.9098","4.5352","1.6701","1.6701","2503994.456","2253550.7316","807156.8027","12144373.1116","10929721.0483"
"688566.SH","20260309","29.86","1.6651","5.7176","1.68","27.1512","23.0218","2.4535","6.6422","6.1714","1.7415","1.7415","19943.0865","19943.0865","5807.7787","595500.5629","595500.5629"
"600312.SH","20260309","25.04","5.6007","9.5612","1.27","33.2078","29.5842","3.0546","2.7397","2.6234","1.3538","1.0184","135692.1309","135692.1309","79485.2086","3397730.9577","3397730.9577"
"002786.SZ","20260309","7.97","1.1151","1.7849","0.5","","","17.2098","1.7784","1.6654","","","49561.2","49411.2","30869.84","395002.764","393807.264"
"000421.SZ","20260309","7.07","6.1251","13.3391","0.84","88.4339","23.0432","1.4453","0.6182","0.4563","0.8511","0.8511","57441.5734","57429.6297","26370.565","406111.9239","406027.482"
"605108.SH","20260309","17.59","1.1291","3.5951","1.01","45.6955","97.5436","2.0473","1.8114","1.7894","0.6796","0.6796","26000","26000","8165.4852","457340","457340"
"605178.SH","20260309","67.1","3.1118","5.4466","0.89","","","5.4394","19.4957","18.9092","","","9908","9908","5660.8528","664826.8","664826.8"
"600433.SH","20260309","3.51","1.9182","3.496","0.78","33.4399","316.5499","1.3815","0.8096","0.8208","1.7094","1.7094","175027.9233","175027.9233","96035.0004","614348.0108","614348.0108"
"002368.SZ","20260309","20.69","1.4338","2.1812","0.87","67.4815","57.718","2.4861","1.6455","1.5418","0.4471","0.4471","62323.1286","62042.972","40781.4931","1289465.5307","1283669.0907"
"603458.SH","20260309","11.07","5.3093","5.8641","2","","","1.1871","2.2522","2.31","","","30612.4514","30612.4514","27716.2789","338879.837","338879.837"
"600990.SH","20260309","26.16","2.0019","3.7209","0.62","","","3.9347","4.4234","4.5678","","","27107.5062","26901.2696","14473.0042","709132.3622","703737.2127"
"603517.SH","20260309","11.78","0.5913","1.132","0.58","31.4324","103.5634","1.1184","1.141","1.2974","2.8014","2.8014","60600.1936","60600.1936","31652.3996","713870.2806","713870.2806"
